Month,Ticker,Return_PCT
2023-11,TRENT,29.35
2023-11,BPCL,24.75
2023-11,HEROMOTOCO,23.66
2023-11,EICHERMOT,18.25
2023-11,APOLLOHOSP,14.71
2023-12,BEL,26.25
2023-12,ADANIPORTS,24.09
2023-12,ADANIENT,20.79
2023-12,HINDALCO,19.24
2023-12,NTPC,19.08
2024-01,ONGC,23.02
2024-01,SHRIRAMFIN,20.14
2024-01,ADANIPORTS,17.89
2024-01,BHARTIARTL,13.42
2024-01,TATAMOTORS,13.37
2024-02,TRENT,25.75
2024-02,BPCL,20.2
2024-02,M&M,17.01
2024-02,SBIN,16.8
2024-02,SUNPHARMA,11.24
2024-03,BAJAJ-AUTO,15.66
2024-03,MARUTI,11.62
2024-03,BAJFINANCE,11.55
2024-03,HINDALCO,11.19
2024-03,TATASTEEL,10.65
2024-04,BEL,16
2024-04,HINDALCO,15.02
2024-04,EICHERMOT,14.38
2024-04,M&M,12.23
2024-04,TRENT,11.7
2024-05,BEL,26.61
2024-05,M&M,16.23
2024-05,HEROMOTOCO,12.69
2024-05,ADANIENT,11.68
2024-05,ADANIPORTS,8.49
2024-06,SHRIRAMFIN,23.68
2024-06,TRENT,20.19
2024-06,ULTRACEMCO,17.67
2024-06,WIPRO,17.49
2024-06,TECHM,16.44
2024-07,ONGC,21.88
2024-07,HDFCLIFE,20.24
2024-07,INFY,19.24
2024-07,SBILIFE,17.54
2024-07,TATAMOTORS,16.86
2024-08,TRENT,22.6
2024-08,BAJAJ-AUTO,12.7
2024-08,SHRIRAMFIN,9.3
2024-08,BAJAJFINSV,7.96
2024-08,CIPLA,7.16
2024-09,BAJAJ-AUTO,13.35
2024-09,SHRIRAMFIN,11.62
2024-09,BAJAJFINSV,10.68
2024-09,TATASTEEL,10.34
2024-09,M&M,10.32
2024-10,SBIN,4.1
2024-10,TECHM,1.99
2024-10,WIPRO,1.91
2024-10,ICICIBANK,1.51
2024-10,HDFCLIFE,0.3
2024-11,M&M,10.42
2024-11,TECHM,8.63
2024-11,INFY,8.25
2024-11,HCLTECH,7.49
2024-11,TCS,6.96
