Ticker,Volatile value
ADANIENT,2.860052379
ADANIPORTS,2.602864345
BEL,2.328339206
TRENT,2.307379893
ONGC,2.224731218
BPCL,2.20688511
SHRIRAMFIN,2.168666461
COALINDIA,2.141144915
HINDALCO,1.958683641
NTPC,1.94750117
M&M,1.921277295
INDUSINDBK,1.911119334
POWERGRID,1.86714423
TATASTEEL,1.823163915
SBIN,1.793934482
TATAMOTORS,1.787650516
BAJAJ-AUTO,1.760936994
WIPRO,1.746788628
LT,1.696390415
HEROMOTOCO,1.656323803
JSWSTEEL,1.638393236
CIPLA,1.633241577
EICHERMOT,1.609889841
TECHM,1.601986887
BAJFINANCE,1.59184949
AXISBANK,1.562496493
SBILIFE,1.511342843
TATACONSUM,1.480477367
HDFCLIFE,1.463007726
INFY,1.449191305
GRASIM,1.446511381
ULTRACEMCO,1.431459671
HCLTECH,1.429465068
KOTAKBANK,1.421566388
TITAN,1.413589304
APOLLOHOSP,1.413457471
BAJAJFINSV,1.411784954
MARUTI,1.371249377
BHARTIARTL,1.362450773
RELIANCE,1.356206713
HDFCBANK,1.348980041
TCS,1.316177159
BRITANNIA,1.303921837
ICICIBANK,1.278889739
ASIANPAINT,1.266467967
NESTLEIND,1.251683364
DRREDDY,1.249010021
HINDUNILVR,1.20738958
ITC,1.194370246
SUNPHARMA,1.173282294
